transaction_id,amount,transaction_hour,customer_age,transactions_last_24h,avg_transaction_amount,distance_from_last_transaction,is_new_device,is_international,failed_attempts,merchant_risk,is_fraud
38,154.52,8,66,3,299.24,47.74,1,0,0,5,0
39,290.56,1,65,1,6489.01,33.09,0,0,0,3,1
40,1335.23,3,51,6,375.11,65.42,0,0,2,5,0
41,2294.95,8,48,2,514.03,12.39,0,0,1,4,0
42,1301.62,14,28,1,383.66,5.45,0,0,1,2,0
43,976.87,12,53,6,158.55,4.74,0,0,1,5,0
44,811.51,19,23,3,248.13,94.57,0,0,2,3,0
45,250.0,7,44,1,1552.78,121.77,0,0,1,5,1
46,533.87,18,24,2,512.47,84.21,0,0,1,5,0
47,691.84,18,66,2,926.73,117.4,0,0,0,3,1
48,3156.19,15,49,4,958.63,209.24,1,0,0,5,1
49,1546.3,10,25,3,960.6,37.33,0,0,5,1,0
50,188.1,9,50,3,381.83,8.35,0,1,2,2,0
51,1516.38,7,64,5,2569.79,46.82,0,0,0,4,1
52,746.14,0,69,1,1389.85,21.84,0,1,1,2,0
53,557.29,9,61,3,973.52,21.27,0,0,2,5,0
54,2021.66,17,32,5,813.12,65.06,0,0,1,5,0
55,3074.81,2,44,3,220.97,4.75,0,0,2,2,0
56,2782.99,10,47,3,1291.49,1.91,0,0,1,2,0
57,473.8,17,39,2,598.5,59.42,1,0,2,3,0
58,804.96,2,64,4,347.87,15.1,0,0,0,3,0
59,1527.31,7,46,4,293.86,24.35,0,0,1,4,0
60,2908.94,13,58,4,1459.71,18.38,0,0,2,2,0
61,679.14,5,65,0,217.63,47.7,0,0,3,1,0
62,910.82,14,47,4,483.24,8.39,0,0,2,2,0
63,362.73,13,19,2,755.97,63.75,0,1,0,2,0
64,331.55,6,32,2,590.9,129.46,0,0,2,2,0
65,2471.36,9,64,5,928.15,90.43,0,0,1,5,0
66,4256.66,14,44,3,1702.27,118.78,0,1,0,2,0
67,1020.44,9,24,2,1091.1,138.29,0,0,0,2,0
68,2991.51,21,44,5,700.46,23.29,0,0,1,5,0
69,1574.41,16,38,2,465.42,79.42,0,0,0,4,1
70,575.29,18,30,1,211.29,34.14,0,0,3,5,0
71,1574.03,16,34,3,631.85,15.72,0,0,1,4,0
72,5105.31,11,28,3,492.86,68.69,0,1,2,1,1
73,1058.04,14,27,1,1014.88,13.99,0,1,2,1,0
74,5242.97,11,50,3,596.55,5.81,0,0,1,5,0
75,79.86,8,31,1,1527.95,60.97,0,0,0,3,0
76,2494.65,4,54,4,467.7,16.95,1,0,2,3,0
77,1196.37,3,25,3,425.12,18.26,0,0,1,4,0
78,813.21,11,50,4,932.92,106.48,0,0,0,4,0
79,1202.02,15,24,3,724.88,7.28,0,0,0,1,0
80,150.27,8,51,6,901.34,72.38,0,0,0,1,0
81,880.36,2,24,1,598.58,24.41,0,1,2,3,0
82,1567.3,20,24,3,679.16,111.75,0,0,1,1,0
83,4807.32,2,58,5,524.72,29.02,0,0,2,5,0
84,653.1,17,53,2,739.75,26.3,0,1,1,5,0
85,488.58,16,24,3,1788.23,28.09,0,0,3,1,0
86,663.97,9,37,2,442.6,90.91,0,0,1,4,0
87,2739.15,1,35,5,409.58,0.53,0,0,0,2,0
88,1523.48,23,62,0,858.91,61.02,0,0,1,5,0
89,645.64,10,60,1,573.5,11.49,0,1,2,5,0
90,1832.19,23,58,3,2059.2,106.91,0,0,0,1,0
91,1208.43,2,31,3,1164.17,23.57,0,0,0,3,0
92,2888.94,22,57,4,1318.5,20.7,1,0,0,5,0
93,543.45,22,31,4,1416.92,62.35,0,0,1,4,1
94,790.24,1,38,4,393.42,64.09,0,0,2,3,0
95,740.92,8,66,5,727.85,50.22,0,0,0,2,0
96,253.78,18,44,3,1143.52,20.01,1,0,2,4,0
97,1474.57,1,63,4,667.58,47.13,1,0,1,1,0
98,1423.76,18,43,0,324.55,2.79,0,1,2,3,1
99,1102.26,1,44,4,1397.9,155.25,0,0,2,5,0
100,867.32,14,41,4,578.46,30.14,0,0,1,4,0
101,266.3,23,22,1,847.05,18.15,0,1,1,5,0
102,720.07,20,59,5,1059.78,98.58,1,0,0,1,1
103,778.43,2,55,2,2230.85,19.59,0,0,0,4,0
104,491.63,4,45,2,783.17,293.43,1,0,2,1,0
105,933.29,10,59,3,132.57,58.66,0,0,0,4,1
106,1642.63,23,60,4,769.52,52.43,0,0,0,4,0
107,7231.39,6,49,4,833.05,8.24,0,0,1,5,1
108,1305.81,5,41,2,175.11,47.06,0,0,0,5,0
109,1418.78,13,23,1,2160.29,8.43,0,0,0,5,1
110,1017.96,0,27,5,79.98,76.53,1,0,0,4,0
111,160.97,16,63,4,1057.45,7.45,0,0,2,5,0
112,1067.94,16,69,5,195.43,22.22,0,1,0,4,0
113,1164.71,13,20,3,1563.99,32.38,0,0,0,4,0
114,12877.57,9,24,3,1044.82,81.79,0,1,0,3,0
115,904.73,7,46,2,2164.32,50.09,0,0,1,5,0
116,1482.59,7,51,3,1006.89,68.91,0,0,0,1,0
117,1059.22,13,24,1,883.01,13.98,0,0,0,2,0
118,340.81,6,34,2,511.76,13.54,0,1,1,5,1
119,3438.61,5,30,4,165.98,23.95,0,0,2,4,0
120,2326.06,3,38,2,3805.98,0.94,1,0,0,1,0
121,2418.81,0,48,5,451.58,88.81,0,1,1,4,1
122,441.69,14,26,4,871.37,23.1,0,0,2,3,0
123,4459.51,14,62,2,344.25,3.5,0,0,0,1,0
124,269.93,0,64,4,281.92,102.87,0,0,1,1,0
125,1972.11,19,30,1,697.59,171.83,0,0,2,3,0
126,9803.12,2,34,4,927.9,52.01,0,0,1,4,1
127,407.26,22,25,2,2713.34,22.05,0,0,0,3,0
128,622.47,4,26,7,1487.45,26.7,0,0,2,3,0
129,1211.54,4,26,3,832.92,14.8,1,1,1,2,0
130,662.83,3,57,2,633.95,62.11,1,1,0,5,0
131,232.6,16,65,6,876.33,22.01,0,0,0,3,0
132,1174.46,20,69,1,539.64,1.65,0,0,1,1,0
133,379.06,19,47,2,818.29,2.36,0,0,3,1,0
134,1760.92,13,24,4,351.9,47.69,0,0,0,4,0
135,437.28,7,34,7,427.01,17.15,0,0,0,1,0
136,5166.42,1,56,5,638.33,9.23,0,0,0,2,1
137,501.07,7,55,2,861.65,40.19,0,0,2,3,0
138,794.68,0,22,4,604.94,16.32,0,1,0,4,1
139,2473.82,3,34,5,776.26,3.81,0,0,0,2,0
140,320.26,18,57,2,320.57,10.76,0,0,2,5,0
141,1376.72,4,18,2,254.47,75.23,1,0,3,3,1
142,4052.72,4,33,1,639.09,95.53,0,0,1,4,0
143,219.76,20,34,1,172.56,102.84,0,0,1,4,0
144,1319.01,19,47,3,1323.43,38.27,0,0,2,3,0
145,1422.09,23,48,4,221.46,150.75,0,1,2,1,0
146,2396.64,18,52,2,486.63,8.22,1,0,0,3,1
147,318.32,11,62,1,994.73,56.72,0,0,1,4,0
148,292.82,19,25,1,1384.0,60.91,0,0,1,4,0
149,1848.15,0,65,5,1111.7,2.73,0,0,0,4,1
150,1475.84,6,47,1,980.57,16.6,1,0,2,4,1
151,1408.8,16,56,2,5208.01,148.84,0,0,0,3,0
152,1550.68,1,38,2,286.38,71.15,0,0,0,4,1
153,555.56,10,32,1,854.81,2.81,0,1,1,1,0
154,1383.34,6,51,4,1103.62,38.91,0,0,2,4,0
155,1470.08,16,44,2,884.75,52.29,0,0,1,5,0
156,536.81,2,19,2,458.75,180.75,0,1,2,4,0
157,7085.28,21,27,2,1028.62,63.02,0,1,2,2,0
158,1761.34,5,22,4,972.65,50.9,0,0,2,1,0
159,333.18,21,44,8,1799.86,119.59,0,0,1,5,0
160,2114.46,10,21,2,971.32,54.08,0,0,0,2,0
161,413.77,17,64,3,145.46,134.5,0,0,0,1,0
162,2409.28,17,30,3,1250.57,33.94,1,0,0,4,0
163,3493.28,21,34,0,482.45,63.39,0,0,1,4,0
164,482.66,9,38,3,571.23,49.95,0,0,0,4,0
165,2873.76,4,40,3,266.49,40.21,0,0,0,4,0
166,1657.03,22,50,7,741.82,19.59,0,0,1,1,0
167,2495.04,22,67,3,3226.75,117.06,0,0,0,3,0
168,7308.5,20,32,2,1561.77,15.74,0,0,1,2,0
169,858.01,23,31,0,257.79,8.68,0,1,2,4,0
170,516.08,21,26,5,566.94,62.25,1,1,1,4,1
171,450.56,14,61,2,1490.62,39.54,0,1,2,3,0
172,485.02,20,54,2,576.28,15.25,0,0,0,1,0
173,1015.26,19,47,3,129.32,102.13,1,0,0,3,0
174,1542.49,22,46,2,429.72,16.86,0,0,3,4,1
175,1446.19,3,40,1,2006.98,3.3,0,0,0,4,0
176,2507.86,20,51,5,2220.92,0.77,0,0,1,3,0
177,1110.98,20,24,2,577.48,128.1,0,0,1,2,0
178,4691.62,0,26,2,534.02,25.72,0,0,2,1,0
179,841.63,14,67,4,106.11,12.01,0,0,1,5,0
180,16650.06,16,21,1,615.95,41.86,0,0,0,3,1
181,2050.15,18,19,1,421.26,33.46,0,0,1,1,0
182,465.37,13,44,3,146.22,437.85,1,1,0,3,0
183,375.82,18,50,1,310.23,109.69,0,0,0,1,0
184,1776.63,17,49,2,233.11,15.81,0,0,1,2,0
185,877.03,1,61,5,696.72,59.82,0,0,1,2,0
186,2239.48,5,62,3,2300.06,24.48,1,0,0,1,0
187,1760.3,12,63,2,588.73,22.66,0,1,1,1,1
188,1019.61,16,54,1,819.86,22.87,1,0,1,1,0
189,470.22,5,44,4,4769.93,50.98,0,0,0,3,0
190,241.09,20,45,5,144.9,38.61,0,0,1,4,0
191,701.69,21,20,3,775.43,70.34,0,0,1,5,0
192,2582.2,4,53,6,1661.53,8.3,0,0,0,3,0
193,1358.44,6,66,5,854.2,27.71,0,0,2,2,0
194,315.53,0,68,4,181.04,98.42,0,1,0,2,0
195,1303.99,12,60,4,3111.76,0.16,1,0,0,1,0
196,1612.14,18,25,2,1301.41,48.84,0,1,0,2,0
197,453.11,21,61,3,824.6,77.03,0,0,2,1,0
198,1278.86,0,67,6,220.2,24.21,1,0,1,2,0
199,1162.36,12,67,3,4158.61,107.54,0,0,1,3,0
200,349.68,10,58,1,1063.59,66.53,0,0,0,1,0
201,1568.36,6,54,5,950.23,46.58,0,0,3,4,0
202,1921.35,19,66,3,1062.59,11.05,0,0,2,4,0
203,3239.1,2,62,1,1431.45,55.45,0,0,0,5,1
204,3145.73,0,55,2,728.74,89.72,0,1,1,3,0
205,276.53,7,39,2,605.24,65.45,0,0,0,3,0
206,429.31,16,31,1,110.64,42.77,0,0,0,4,0
207,1835.43,12,32,4,354.94,62.69,0,0,0,1,0
208,1833.14,13,63,3,3243.74,188.37,1,0,1,4,1
209,1835.46,4,21,5,342.27,0.54,0,1,1,2,0
210,51675.11,23,35,2,524.51,54.52,0,0,1,3,0
211,1940.87,21,18,2,264.47,78.75,0,0,0,5,0
212,3413.75,22,29,1,999.99,50.93,0,0,0,5,0
213,2846.94,23,58,5,541.96,15.95,0,0,1,3,0
214,2103.57,5,59,4,526.85,86.51,1,0,1,5,0
215,800.1,21,67,3,350.53,122.26,0,0,0,4,0
216,2342.49,5,34,5,928.75,57.52,1,0,1,5,1
217,506.32,20,36,2,2159.17,35.77,1,0,1,2,0
218,865.39,7,53,4,171.75,22.81,0,0,0,1,1
219,674.95,12,65,1,521.76,20.03,0,0,0,5,0
220,1190.2,17,24,0,584.2,64.23,0,0,1,5,0
221,11099.54,22,26,3,361.06,46.71,0,0,0,2,0
222,169.48,3,25,3,1678.0,8.53,1,0,1,2,0
223,2178.21,16,42,6,1694.95,7.6,0,0,2,2,0
224,218.61,4,24,2,799.22,3.69,0,0,1,3,0
225,684.08,2,59,4,386.46,57.52,0,0,1,3,0
226,3258.27,3,25,2,1666.11,18.87,0,0,0,4,0
227,1169.44,22,41,1,525.32,1.02,0,0,1,2,0
228,373.25,4,34,5,1455.1,20.6,0,0,1,4,1
229,536.3,13,29,4,4695.57,89.22,0,0,2,4,0
230,2163.75,14,63,1,665.42,14.23,1,0,1,2,0
231,528.28,19,48,2,754.83,50.19,0,0,1,5,0
232,1361.66,16,29,5,380.5,28.96,0,0,2,5,0
233,1147.76,5,19,1,1502.81,39.8,0,0,1,5,0
234,571.58,9,29,3,787.57,45.29,0,0,1,1,0
235,9357.6,21,44,5,243.22,30.33,0,0,0,3,0
236,2067.14,22,63,2,375.76,2.98,1,0,1,4,0
237,144.73,15,24,2,3186.7,41.93,1,0,5,4,0
238,1321.41,16,30,3,546.52,25.34,0,0,1,1,0
239,565.78,13,53,2,276.77,11.15,0,0,0,2,0
240,2571.99,19,18,3,772.79,113.41,0,0,1,1,0
241,496.45,11,66,2,434.89,66.6,0,0,0,2,0
242,977.76,8,52,4,573.54,16.71,0,0,1,5,0
243,1817.08,14,47,3,1025.58,38.71,0,0,0,4,0
244,2606.48,11,48,4,871.85,165.0,0,0,1,2,0
245,330.2,13,34,5,683.65,14.08,1,0,0,1,0
246,784.85,21,25,3,407.33,147.24,1,0,0,3,0
247,682.02,17,20,1,160.03,57.5,0,0,1,2,0
248,570.59,19,27,1,3092.03,38.92,1,0,1,4,0
249,6408.97,5,51,2,2947.1,204.34,0,0,1,4,1
250,1644.15,3,39,3,678.13,20.3,0,0,0,4,0
251,310.79,22,21,5,1296.91,16.3,0,0,0,3,0
252,2745.89,11,49,2,648.14,20.74,0,0,0,3,0
253,9155.92,12,46,1,358.58,69.49,0,0,0,5,0
254,3079.32,18,63,7,705.55,20.55,1,0,0,5,0
255,240.0,21,28,5,744.49,5.42,0,0,1,3,0
256,675.71,12,63,2,2189.75,51.69,0,0,0,5,0
257,3892.91,11,30,2,717.68,12.61,0,0,2,4,0
258,540.41,19,21,2,2601.15,0.21,1,0,1,1,0
259,1709.27,2,19,2,584.86,11.1,0,0,0,3,0
260,2379.47,2,51,1,422.61,85.5,0,0,0,5,0
261,434.01,13,60,3,2189.76,140.88,1,0,0,2,0
262,1033.26,17,39,2,2029.96,54.23,1,0,1,3,0
263,42.89,18,22,6,707.37,18.59,0,0,1,1,0
264,393.71,9,26,6,874.68,28.68,0,0,0,3,0
265,851.87,16,37,2,835.65,10.82,0,0,1,5,0
266,314.89,14,38,5,787.67,106.34,1,0,1,3,0
267,5610.59,18,34,1,494.1,54.77,0,0,0,2,0
268,262.4,8,29,3,4522.37,4.41,1,0,2,2,0
269,706.24,3,45,5,483.01,22.86,0,0,0,2,0
270,1249.8,14,35,2,1037.78,38.61,1,0,0,4,0
271,4634.45,18,20,2,774.56,79.81,0,0,1,4,0
272,260.9,15,22,0,88.74,126.6,0,0,0,1,0
273,3509.27,7,69,3,730.87,7.12,0,0,0,2,0
274,1107.91,16,31,5,531.02,89.96,0,0,2,5,0
275,410.96,20,65,2,426.14,3.4,0,0,1,4,0
276,1740.81,0,43,4,289.72,13.75,0,0,1,5,0
277,1338.17,6,36,1,2813.74,1.06,0,0,0,4,0
278,601.71,20,58,4,273.05,3.3,1,0,1,5,1
279,1175.92,17,34,3,570.71,1.65,0,0,1,4,0
280,745.97,11,56,5,437.86,7.89,0,0,1,3,0
281,1228.46,15,59,5,285.43,104.59,0,0,1,4,0
282,2126.28,0,21,0,1229.06,16.69,1,1,2,5,0
283,5356.24,14,59,1,949.42,32.67,0,0,0,4,0
284,318.04,6,52,3,446.59,33.39,0,0,0,5,0
285,9256.06,16,41,3,318.53,267.62,1,0,3,1,1
286,155.7,2,58,6,1011.54,22.68,0,0,0,4,0
287,942.2,10,30,0,942.7,15.4,0,1,0,4,0
288,1974.99,5,50,4,592.19,165.17,0,0,0,2,0
289,1452.43,5,32,5,2099.41,44.89,0,1,0,4,0
290,588.34,14,32,1,2336.66,17.09,0,0,0,2,0
291,890.58,6,48,5,442.88,16.95,0,0,1,1,0
292,669.81,10,60,4,3535.77,4.52,0,0,1,1,0
293,608.28,16,45,2,533.67,40.69,1,1,1,2,0
294,2564.71,22,27,7,539.23,64.31,0,0,1,2,0
295,1567.15,17,24,2,1176.67,32.19,0,1,2,1,1
296,548.45,21,50,2,878.57,107.9,0,0,1,4,0
297,2696.2,23,24,2,682.73,33.08,0,0,0,4,0
298,1491.14,20,22,2,143.72,21.26,0,0,2,5,0
299,2472.2,18,43,5,185.52,14.44,0,0,0,4,0
300,2058.29,7,33,3,238.15,13.94,0,0,1,5,0
301,478.67,23,25,0,670.78,19.03,0,0,1,2,0
302,626.29,19,39,0,439.38,241.26,0,0,0,2,0
303,2315.3,7,51,1,491.73,22.38,0,0,4,3,0
304,2019.03,20,57,5,524.82,37.18,0,1,0,4,1
305,1073.95,10,45,5,1453.99,16.06,0,0,3,5,1
306,1233.15,20,63,1,1235.46,7.75,1,0,2,1,0
307,3935.0,2,53,5,476.9,51.9,0,0,1,2,0
308,606.94,22,64,3,521.36,39.4,0,0,4,4,0
309,1895.23,13,24,5,333.44,3.51,0,0,2,4,1
310,895.88,8,69,5,508.24,107.19,0,0,0,3,0
311,882.11,0,57,2,1880.84,35.43,0,0,0,4,0
312,3290.44,0,60,4,1387.41,20.42,1,0,0,2,0
313,2503.43,11,45,1,903.73,75.56,0,0,0,3,0
314,2473.8,10,19,2,281.95,5.94,0,0,1,2,0
315,4045.98,20,26,4,637.57,32.1,0,0,1,3,0
316,1119.91,0,23,5,488.95,39.79,0,0,3,4,0
317,2168.85,19,18,1,588.15,74.61,1,0,0,5,0
318,804.11,11,20,1,1251.67,23.12,0,0,1,1,0
319,1516.51,16,27,1,1575.25,96.54,0,0,0,3,0
320,962.81,14,54,1,4708.86,59.81,0,0,2,5,0
321,1208.33,1,61,1,324.33,73.72,0,0,1,5,0
322,1988.54,17,40,2,1779.72,173.81,0,0,2,4,0
323,483.85,15,50,2,596.26,93.14,0,0,0,2,0
324,8887.38,3,26,5,375.73,21.29,0,0,0,3,0
325,401.01,7,30,2,3784.33,51.9,0,0,3,1,0
326,325.65,1,45,5,2721.9,101.48,0,0,2,5,0
327,3491.58,13,68,4,531.22,37.23,1,0,1,4,1
328,2420.34,14,24,6,373.17,57.41,0,0,1,2,0
329,2046.98,8,43,6,162.76,9.45,0,0,2,4,0
330,2055.65,1,33,6,1814.56,84.62,0,0,0,5,1
331,1083.28,16,57,1,129.36,70.83,0,0,3,4,0
332,447.08,9,43,2,592.05,109.86,0,1,0,1,1
333,1182.99,8,68,5,325.45,61.92,0,0,1,4,0
334,557.15,1,56,5,2028.54,104.74,1,0,3,5,0
335,2907.71,23,49,2,2909.71,8.85,0,0,1,1,0
336,946.66,18,53,5,170.18,84.01,0,1,0,4,1
337,480.34,16,59,4,709.99,152.85,0,0,1,1,0
338,795.22,10,18,3,825.43,84.51,0,0,0,3,0
339,1657.28,16,66,2,528.23,47.76,0,1,0,1,0
340,624.08,9,38,2,398.23,130.52,1,0,1,1,1
341,481.92,17,30,2,2325.26,4.96,1,1,0,1,0
342,1399.24,22,68,2,437.74,0.85,0,0,1,4,0
343,1401.04,5,43,3,3248.85,168.08,0,0,1,4,1
344,660.54,15,62,6,391.67,57.44,0,0,1,2,0
345,684.69,17,26,1,1233.43,6.06,0,0,0,1,0
346,1383.05,19,54,4,1297.57,20.78,1,0,1,1,1
347,257.73,17,40,1,391.38,69.08,0,0,0,3,0
348,268.42,0,18,2,160.36,69.39,1,0,0,5,0
349,534.62,2,19,4,334.49,9.32,1,0,0,4,0
350,885.85,14,60,2,258.91,31.76,0,0,1,2,0
351,1496.53,19,45,2,1285.82,82.33,0,0,0,3,0
352,4795.13,9,53,6,491.1,170.26,0,0,0,2,0
353,2585.46,20,48,4,1996.64,48.72,0,1,0,3,0
354,934.55,4,58,1,1051.8,50.82,0,0,0,4,0
355,1075.98,14,22,1,570.21,31.68,0,0,0,5,0
356,402.41,22,54,3,711.26,38.72,0,0,2,1,0
357,1076.52,13,42,3,230.05,5.21,0,0,0,4,1
358,821.67,14,25,3,569.37,21.51,0,0,0,3,0
359,1514.32,9,51,4,746.07,35.39,0,0,1,4,0
360,479.51,23,56,0,489.09,16.08,0,0,1,2,0
361,1843.36,8,66,3,424.02,22.3,0,1,1,4,1
362,5078.34,11,49,3,1486.84,177.36,1,0,1,5,0
363,983.62,6,28,2,312.75,0.26,0,0,0,3,0
364,1638.79,4,64,5,1061.91,18.02,0,0,2,4,0
365,2186.69,23,42,2,1603.78,43.85,0,1,0,3,0
366,734.2,9,20,4,988.12,16.35,1,0,2,1,0
367,1372.09,7,62,3,253.82,56.42,0,0,1,5,1
368,1110.53,21,67,1,728.71,17.78,0,0,0,3,0
369,1209.15,19,69,1,1359.36,50.83,1,1,0,1,0
370,506.23,15,49,3,527.95,94.81,0,0,1,5,0
371,1123.84,11,69,1,336.02,53.74,0,0,0,2,0
372,1804.43,8,52,3,326.75,2.56,1,0,3,3,0
373,4680.42,9,49,7,860.5,79.29,0,1,0,3,0
374,2861.99,15,51,2,509.81,11.96,0,0,1,5,0
375,9444.45,9,54,4,405.68,50.36,0,1,3,1,1
376,509.1,8,69,2,124.09,52.03,0,0,0,2,0
377,2623.65,2,22,2,2814.75,81.42,0,0,0,3,0
378,1317.3,18,62,2,517.27,35.24,0,0,1,4,0
379,9796.72,10,45,1,1275.71,23.58,1,1,0,2,0
380,488.68,5,45,2,1940.52,36.49,0,0,1,4,0
381,473.56,5,25,4,10142.76,39.46,0,0,0,5,0
382,602.21,14,44,2,1147.7,86.17,0,0,0,3,0
383,131.12,14,33,2,869.68,11.48,0,0,1,1,0
384,648.23,12,35,0,192.52,93.81,0,0,1,3,0
385,513.3,21,42,1,131.44,22.76,0,0,2,4,0
386,1274.61,4,65,3,98.54,68.1,1,1,0,2,0
387,1543.42,13,18,4,580.87,20.45,0,0,2,5,0
388,7159.32,20,25,3,299.34,61.7,1,1,2,1,0
389,2836.78,1,38,4,451.03,80.27,1,0,0,4,1
390,615.91,22,51,3,2100.42,40.83,0,0,0,1,0
391,446.57,11,41,7,1005.67,48.32,0,0,2,2,0
392,1793.49,19,54,1,657.83,61.51,0,0,1,5,0
393,292.88,13,43,3,777.81,58.31,0,0,1,5,0
394,6846.27,18,64,0,380.96,64.99,0,0,1,5,0
395,3566.86,23,31,3,453.48,94.75,0,0,0,3,0
396,685.96,19,46,4,220.0,12.46,0,0,0,4,0
397,197.72,14,47,2,1238.8,12.09,0,0,2,1,0
398,4246.59,19,20,1,2742.29,176.48,0,0,1,2,0
399,977.95,23,24,3,1976.84,95.3,0,0,1,3,0
400,3781.27,16,53,5,678.48,44.79,1,0,1,4,1
401,222.64,13,28,6,1429.99,0.41,0,1,1,5,0
402,602.22,22,49,4,1027.97,96.47,0,0,0,1,0
403,1102.4,17,29,0,763.73,69.64,0,0,1,5,0
404,1149.38,21,32,4,881.51,156.61,0,0,0,3,0
405,699.2,23,55,2,231.69,0.66,0,0,2,4,1
406,2044.38,4,41,2,453.01,1.45,0,0,1,1,0
407,377.05,21,18,2,385.37,36.43,0,0,0,4,0
408,951.1,11,35,3,198.43,96.91,0,0,1,2,0
409,1236.82,9,63,3,1055.22,237.32,0,0,1,5,0
410,1834.34,7,24,4,1166.65,19.28,0,0,2,2,0
411,2234.15,5,59,1,87.56,1.85,1,0,1,4,1
412,356.15,14,58,1,657.35,10.88,1,0,1,3,0
413,236.49,11,19,2,507.13,104.78,0,0,1,1,0
414,3935.04,5,57,3,403.62,31.41,1,0,2,1,0
415,1528.92,11,48,3,178.0,95.97,0,1,2,3,0
416,518.8,14,50,5,698.27,29.34,0,0,1,4,0
417,5172.71,11,69,3,675.17,2.74,0,0,0,4,0
418,1231.11,8,47,0,491.96,48.06,1,1,1,1,1
419,3566.35,18,48,5,1270.11,28.61,0,1,1,4,0
420,1173.23,20,51,1,1226.46,33.8,0,0,1,1,0
421,8610.59,1,24,2,149.84,148.77,0,1,1,1,0
422,6344.48,12,42,5,1224.42,30.54,0,0,3,2,0
423,854.94,12,33,4,309.61,79.61,0,0,0,1,0
424,2897.41,7,39,1,534.72,3.04,0,0,1,1,0
425,2090.95,12,53,4,2486.56,32.6,0,0,2,3,0
426,4309.73,3,44,10,642.53,44.18,0,0,2,5,1
427,417.83,5,34,3,1513.27,6.01,1,0,0,2,0
428,2177.76,5,21,3,542.95,17.99,1,0,1,4,1
429,3160.31,20,52,7,1406.84,67.28,0,0,0,4,0
430,188.91,11,58,4,636.85,10.16,0,0,2,4,0
431,335.88,11,39,2,536.38,6.87,0,0,0,2,0
432,142.7,16,64,5,733.81,17.78,0,0,1,2,0
433,837.64,6,69,3,271.77,97.94,0,0,0,5,1
434,2247.43,14,52,2,440.37,71.97,0,0,0,3,0
435,4926.37,23,61,5,1084.45,74.98,0,0,1,5,1
436,1180.97,16,32,3,1300.35,19.46,0,0,0,3,0
437,5589.33,9,69,5,320.79,5.21,0,0,1,3,0
438,275.86,22,57,4,2639.62,1.62,0,0,0,5,0
439,199.66,19,61,2,2824.61,44.12,0,0,0,3,0
440,1037.38,5,38,3,317.46,60.58,0,1,0,3,1
441,1610.12,8,30,2,461.83,23.73,1,0,1,3,1
442,1061.36,14,64,4,649.11,37.63,0,0,1,4,1
443,138.73,15,28,3,1757.44,16.36,0,0,4,2,0
444,1003.13,20,66,2,1051.98,22.65,0,0,1,3,0
445,297.53,7,44,3,520.63,65.43,0,0,0,3,0
446,2142.38,15,48,2,242.03,63.33,0,0,0,1,0
447,1582.24,4,61,3,139.02,1.42,0,1,1,2,0
448,428.43,17,49,2,836.01,144.33,0,0,0,2,0
